volcano_number,volcano_name,country,latitude,longitude,vei,start_year,start_day,eruption_times,eruption_start_time,eruption_start_time_numeric,eruption_start_time_numeric_full,eruption_frequency,primary_volcano_type
390013,"Pleiades, The",Antarctica,-72.67,165.5,2.0,-1050.0,0.0,1,1050-BCE-00-00,-1050.0833333333333,-1049.9972602739726,Low (0-2),Stratovolcanoes
345040,Poas,Costa Rica,10.2,-84.233,2.0,2019.0,7.0,60,2019-02-07,2019.102496714849,2019.1025114155248,High (>10),Stratovolcanoes
275080,Popa,Burma (Myanmar),20.92,95.25,2.0,-442.0,0.0,1,442-BCE-00-00,-442.0833333333333,-441.9972602739726,Low (0-2),Stratovolcanoes
341090,Popocatepetl,Mexico,19.023,-98.622,2.0,2005.0,9.0,46,2005-01-09,2005.0246386333768,2005.024657534247,High (>10),Stratovolcanoes
214090,Porak,Armenia-Azerbaijan,40.028,45.74,2.0,-740.0,0.0,3,740-BCE-00-00,-740.0833333333334,-739.9972602739726,Medium (3-10),Stratovolcanoes
371070,Prestahnukur,Iceland,64.583,-20.666,0.0,-3350.0,0.0,3,3350-BCE-00-00,-3350.083333333333,-3349.9972602739726,Medium (3-10),Others
390140,Protector Seamounts,United Kingdom,-55.912,-28.167,0.0,1962.0,5.0,1,1962-03-05,1962.180354796321,1962.180365296804,Low (0-2),Others
355107,Pular,Chile,-24.188,-68.054,1.0,1990.0,24.0,1,1990-04-24,1990.315703022339,1990.3157534246573,Low (0-2),Stratovolcanoes
352011,Pululahua,Ecuador,0.038,-78.463,2.0,290.0,0.0,4,0290-00-00,289.9166666666667,290.0027397260274,Medium (3-10),Calderas
357160,Puntiagudo-Cordon Cenizos,Chile,-40.969,-72.264,2.0,1930.0,0.0,2,1930-00-00,1929.9166666666667,1930.0027397260276,Low (0-2),Stratovolcanoes
351060,Purace,Colombia,2.32,-76.4,2.0,1977.0,19.0,25,1977-03-19,1977.218681559352,1977.2187214611872,High (>10),Stratovolcanoes
357150,Puyehue-Cordon Caulle,Chile,-40.59,-72.117,5.0,2011.0,4.0,26,2011-06-04,2011.4276171703896,2011.427625570776,High (>10),Stratovolcanoes
360140,Qualibou,Saint Lucia,13.83,-61.05,1.0,1766.0,0.0,1,1766-00-00,1765.9166666666667,1766.0027397260274,Low (0-2),Calderas
357121,Quetrupillan,Chile,-39.496,-71.722,2.0,1872.0,6.0,5,1872-06-06,1872.4330924222515,1872.4331050228311,Medium (3-10),Stratovolcanoes
360020,"Quill, The",Netherlands,17.478,-62.96,2.0,250.0,0.0,3,0250-00-00,249.91666666666663,250.0027397260274,Medium (3-10),Stratovolcanoes
354000,Quimsachata,Peru,-14.176,-71.351,2.0,-4450.0,0.0,1,4450-BCE-00-00,-4450.083333333333,-4449.997260273973,Low (0-2),Lava Domes
252140,Rabaul,Papua New Guinea,-4.271,152.203,3.0,2014.0,7.0,19,2014-07-07,2014.5191633815157,2014.519178082192,High (>10),Others
231070,"Rahat, Harrat",Saudi Arabia,23.08,39.78,2.0,1292.0,0.0,3,1292-00-00,1291.9166666666667,1292.0027397260274,Medium (3-10),Volcanic Fields
321030,Rainier,United States,46.853,-121.76,1.0,1894.0,21.0,28,1894-11-21,1894.89082347788,1894.890867579909,High (>10),Stratovolcanoes
264071,Ranakah,Indonesia,-8.62,120.52,1.0,1991.0,16.0,2,1991-03-16,1991.2104686815596,1991.210502283105,Low (0-2),Lava Domes
261251,Ranau,Indonesia,-4.871,103.925,2.0,1903.0,9.0,2,1903-12-09,1903.941305300044,1903.9413242009127,Low (0-2),Calderas
242030,Raoul Island,New Zealand,-29.27,-177.92,1.0,2006.0,17.0,19,2006-03-17,2006.21320630749,2006.2132420091325,High (>10),Stratovolcanoes
290220,Rasshua,Russia,47.77,153.02,1.0,1957.0,16.0,2,1957-10-16,1957.793802014893,1957.7938356164384,Low (0-2),Stratovolcanoes
263340,Raung,Indonesia,-8.119,114.056,3.0,2015.0,1.0,69,2015-02-01,2015.086070959264,2015.0860730593608,High (>10),Stratovolcanoes
290020,Raususan [Mendeleev],Japan - administered by Russia,43.979,145.733,2.0,1900.0,0.0,3,1900-00-00,1899.9166666666667,1900.0027397260276,Medium (3-10),Stratovolcanoes
358063,Reclus,Chile,-50.964,-73.585,1.0,1908.0,0.0,4,1908-00-00,1907.9166666666667,1908.0027397260276,Medium (3-10),Craters and Cones
327812,Red Hill,United States,34.25,-108.83,2.0,-9450.0,0.0,3,9450-BCE-00-00,-9450.083333333334,-9449.997260273973,Medium (3-10),Volcanic Fields
241060,Reporoa,New Zealand,-38.42,176.33,2.0,1180.0,0.0,1,1180-00-00,1179.9166666666667,1180.0027397260274,Low (0-2),Calderas
352010,Reventador,Ecuador,-0.077,-77.656,2.0,2008.0,27.0,26,2008-07-27,2008.5739159001316,2008.57397260274,High (>10),Stratovolcanoes
371020,Reykjanes,Iceland,63.85,-22.566,0.0,1970.0,2.0,22,1970-07-02,1970.5054752518613,1970.5054794520547,High (>10),Craters and Cones
345020,Rincon de la Vieja,Costa Rica,10.83,-85.324,2.0,2020.0,31.0,33,2020-01-31,2020.084866403855,2020.0849315068488,High (>10),Complex
264030,Rinjani,Indonesia,-8.42,116.47,2.0,2016.0,1.0,21,2016-08-01,2016.586070959264,2016.5860730593608,High (>10),Stratovolcanoes
241100,Ruapehu,New Zealand,-39.28,175.57,1.0,2007.0,25.0,66,2007-09-25,2007.7351073149364,2007.735159817352,High (>10),Stratovolcanoes
351020,"Ruiz, Nevado del",Colombia,4.892,-75.324,2.0,2019.0,23.0,27,2019-07-23,2019.5629653964083,2019.56301369863,High (>10),Stratovolcanoes
241130,Rumble III,New Zealand,-35.745,178.478,0.0,2008.0,2.0,6,2008-07-02,2008.5054752518613,2008.5054794520547,Medium (3-10),Others
222166,Rungwe,Tanzania,-9.135,33.668,2.0,1250.0,0.0,3,1250-00-00,1249.9166666666667,1250.0027397260274,Medium (3-10),Stratovolcanoes
360010,Saba,Netherlands,17.63,-63.23,2.0,1640.0,0.0,1,1640-00-00,1639.9166666666667,1640.0027397260274,Low (0-2),Stratovolcanoes
354006,Sabancaya,Peru,-15.787,-71.857,3.0,2016.0,6.0,14,2016-11-06,2016.849759088918,2016.8497716894976,High (>10),Stratovolcanoes
263050,Salak,Indonesia,-6.72,106.73,2.0,1938.0,31.0,6,1938-01-31,1938.084866403855,1938.0849315068488,Medium (3-10),Stratovolcanoes
323200,Salton Buttes,United States,33.197,-115.616,2.0,210.0,0.0,3,0210-00-00,209.91666666666663,210.0027397260274,Medium (3-10),Lava Domes
344020,San Cristobal,Nicaragua,12.702,-87.004,2.0,2019.0,4.0,35,2019-03-04,2019.1776171703896,2019.177625570776,High (>10),Stratovolcanoes
329020,San Francisco Volcanic Field,United States,35.347,-111.678,4.0,1075.0,0.0,1,1075-00-00,1074.9166666666667,1075.0027397260274,Low (0-2),Craters and Cones
357020,San Jose,Chile-Argentina,-33.789,-69.895,2.0,1960.0,2.0,9,1960-07-02,1960.5054752518613,1960.5054794520547,Medium (3-10),Stratovolcanoes
341110,San Martin,Mexico,18.57,-95.2,2.0,1932.0,31.0,16,1932-12-31,1933.0015330705207,1933.001598173516,High (>10),Shield
273060,San Pablo Volcanic Field,Philippines,14.12,121.3,2.0,1350.0,0.0,1,1350-00-00,1349.9166666666667,1350.0027397260274,Low (0-2),Stratovolcanoes
355070,San Pedro-San Pablo,Chile,-21.888,-68.391,2.0,1960.0,2.0,10,1960-12-02,1960.9221419185285,1960.9221461187212,Medium (3-10),Stratovolcanoes
343050,San Salvador,El Salvador,13.734,-89.294,3.0,1917.0,7.0,7,1917-06-07,1917.4358300481824,1917.4358447488585,Medium (3-10),Stratovolcanoes
283002,Sanbesan,Japan,35.141,132.622,2.0,650.0,0.0,3,0650-00-00,649.9166666666666,650.0027397260274,Medium (3-10),Stratovolcanoes
322040,Sand Mountain Field,United States,44.38,-121.93,4.0,-950.0,0.0,2,950-BCE-00-00,-950.0833333333334,-949.9972602739726,Low (0-2),Craters and Cones
352090,Sangay,Ecuador,-2.005,-78.341,2.0,2019.0,26.0,11,2019-03-26,2019.2378449408675,2019.237899543379,High (>10),Stratovolcanoes
264050,Sangeang Api,Indonesia,-8.2,119.07,2.0,2017.0,15.0,21,2017-07-15,2017.5410643889616,2017.541095890411,High (>10),Complex
343020,Santa Ana,El Salvador,13.853,-89.63,3.0,2005.0,16.0,19,2005-06-16,2005.4604686815596,2005.460502283105,High (>10),Stratovolcanoes
351021,Santa Isabel,Colombia,4.818,-75.365,2.0,-850.0,0.0,4,850-BCE-00-00,-850.0833333333334,-849.9972602739726,Medium (3-10),Shield
342030,Santa Maria,Guatemala,14.757,-91.552,3.0,1922.0,22.0,3,1922-06-22,1922.476894437144,1922.4769406392693,Medium (3-10),Stratovolcanoes
353090,Santiago,Ecuador,-0.22,-90.77,0.0,1904.0,0.0,3,1904-00-00,1903.9166666666667,1904.0027397260276,Medium (3-10),Shield
212040,Santorini,Greece,36.404,25.396,2.0,1950.0,10.0,13,1950-01-10,1950.027376259308,1950.027397260274,High (>10),Shield
290240,Sarychev Peak,Russia,48.092,153.2,2.0,2019.0,16.0,21,2019-05-16,2019.377135348226,2019.377168949772,High (>10),Stratovolcanoes
290080,Sashiusudake [Baransky],Japan - administered by Russia,45.1,148.019,1.0,1951.0,15.0,3,1951-07-15,1951.5410643889616,1951.541095890411,Medium (3-10),Stratovolcanoes
390090,Saunders,United Kingdom,-57.8,-26.483,1.0,2014.0,12.0,9,2014-11-12,2014.8661848445029,2014.866210045662,Medium (3-10),Stratovolcanoes
244040,Savai'i,Samoa,-13.612,-172.525,2.0,1905.0,4.0,12,1905-08-04,1905.5942838370563,1905.594292237443,High (>10),Shield
255070,Savo,Solomon Islands,-9.13,159.82,2.0,1865.0,0.0,4,1865-00-00,1864.9166666666667,1865.0027397260276,Medium (3-10),Stratovolcanoes
231160,"Sawad, Harra Es-",Yemen,13.58,46.12,3.0,1253.0,0.0,1,1253-00-00,1252.9166666666667,1253.0027397260274,Low (0-2),Volcanic Fields
390050,Seal Nunataks Group,Antarctica,-65.03,-60.05,2.0,1980.0,15.0,2,1980-06-15,1980.4577310556283,1980.4577625570776,Low (0-2),Craters and Cones
311180,Seguam,United States,52.315,-172.51,2.0,1993.0,28.0,13,1993-05-28,1993.4099868593955,1993.4100456621004,High (>10),Stratovolcanoes
263300,Semeru,Indonesia,-8.108,112.922,3.0,2014.0,1.0,65,2014-04-01,2014.2527376259309,2014.2527397260276,High (>10),Stratovolcanoes
311060,Semisopochnoi,United States,51.93,179.58,2.0,2019.0,7.0,9,2019-12-07,2019.9358300481824,2019.9358447488585,Medium (3-10),Stratovolcanoes
265070,Serua,Indonesia,-6.312,130.017,2.0,1921.0,18.0,12,1921-09-18,1921.715943933421,1921.71598173516,High (>10),Stratovolcanoes
382080,Sete Cidades,Portugal,37.87,-25.78,0.0,1880.0,0.0,16,1880-00-00,1879.9166666666667,1880.0027397260276,High (>10),Stratovolcanoes
261020,Seulawah Agam,Indonesia,5.448,95.658,2.0,1839.0,12.0,2,1839-01-12,1839.0328515111696,1839.0328767123287,Low (0-2),Stratovolcanoes
300700,Severny,Russia,58.28,160.87,2.0,-1550.0,0.0,1,1550-BCE-00-00,-1550.0833333333333,-1549.9972602739726,Low (0-2),Shield
323010,Shasta,United States,41.409,-122.193,2.0,1786.0,0.0,23,1786-00-00,1785.9166666666667,1786.0027397260274,High (>10),Stratovolcanoes
300270,Sheveluch,Russia,56.653,161.36,4.0,1999.0,15.0,105,1999-08-15,1999.6243977222955,1999.6244292237443,High (>10),Stratovolcanoes
285040,Shikotsu,Japan,42.688,141.38,1.0,1981.0,27.0,43,1981-02-27,1981.1572492334649,1981.157305936073,High (>10),Calderas
